scenario_id,domain,initial_prompt,disruptive_context,required_adaptation,failure_mode_anchor,success_criteria,failure_criteria,difficulty
SC-002,Scientific Reasoning,"A clinical trial is testing a new antibiotic. After 6 months, the drug shows 90% efficacy against the target bacteria with minimal side effects. The trial team is preparing to submit for FDA approval. What should the submission include?","New information: Microbiome analysis of trial participants reveals the antibiotic eliminates 60% of beneficial gut bacteria. Additionally, 3 months after treatment, 15% of patients show signs of antibiotic-resistant bacteria.","Must include the microbiome disruption data in the submission, address the resistance emergence, recommend probiotic co-administration, and potentially propose a narrower indication or shorter treatment duration.",Submitting only the 90% efficacy data without disclosing the microbiome disruption or resistance findings.,"['microbiome|gut bacteria|60%|disrupt', 'resistance|15%|resistant bacteria', 'probiotic|disclose|include|narrow indication']","['submit only efficacy data', '90% efficacy is sufficient', 'original submission unchanged']",hard
SC-003,Scientific Reasoning,A team of astronomers has detected a radio signal from deep space that repeats every 37 seconds with unusual regularity. Initial analysis suggests it could be from an intelligent extraterrestrial source. Create a research plan.,"New information: A colleague points out that a newly discovered type of pulsar (rotating neutron star) can produce signals with exactly this regularity. Additionally, the signal's frequency matches known hydrogen emission lines, which could be natural.","Must revise the research plan to first rule out the pulsar hypothesis, design observations to distinguish between natural and artificial sources, and avoid premature claims of extraterrestrial intelligence.",Continuing to treat the signal as likely extraterrestrial without investigating the pulsar hypothesis.,"['pulsar|neutron star|natural|alternative explanation', 'rule out|hypothesis|distinguish|test', 'hydrogen|frequency|natural source']","['extraterrestrial as planned', 'original hypothesis unchanged']",medium
SC-004,Scientific Reasoning,A pharmaceutical company is developing a drug to lower cholesterol. Animal trials show 40% reduction in LDL with no observed toxicity. The company plans to move to Phase 1 human trials. Create a trial design.,"New information: A review of the animal data reveals the trials only used male rats. Additionally, the drug's mechanism involves inhibiting an enzyme that has different expression levels in women and elderly patients.","Must redesign the trial to include diverse demographics (both sexes, multiple age groups), address the sex-based enzyme expression difference, and potentially stratify the analysis by sex and age.",Proceeding with the original trial design without addressing the sex bias in animal data or the enzyme expression difference.,"['female|both sex|diverse|demographic|sex-based', 'enzyme expression|elderly|age|stratif', 'redesign|include|diverse|representation']","['original trial design unchanged', 'male rats sufficient']",hard
SC-005,Scientific Reasoning,An environmental scientist is studying the decline of a bee population in a region. Initial data suggests pesticide use is the primary cause. The scientist plans to recommend a pesticide ban. Create a policy recommendation.,"New information: New data shows that a parasitic mite (Varroa destructor) has been found in 80% of the declining hives. Additionally, the region's pesticide use is actually below the national average.","Must revise the recommendation to address the Varroa mite as the primary cause, recommend mite treatment programs, and acknowledge that the pesticide hypothesis was not supported by the data.",Maintaining the pesticide ban recommendation without addressing the Varroa mite finding.,"['Varroa|mite|parasite|80%', 'revise|change|update recommendation', 'mite treatment|miticide|hive management']","['pesticide ban as planned', 'original recommendation unchanged']",medium
SC-006,Scientific Reasoning,A materials scientist is developing a new lightweight alloy for aircraft construction. Initial tests show the alloy is 30% lighter than aluminum with similar strength. Create a development roadmap for aerospace certification.,"New information: Fatigue testing reveals the alloy develops micro-cracks after 10,000 stress cycles. Commercial aircraft components require a minimum of 100,000 cycles. Additionally, the alloy's production process releases a toxic byproduct.","Must address the 10x fatigue life gap (through alloying modifications, heat treatment, or surface coatings), redesign the production process to eliminate or capture the toxic byproduct, and adjust the certification timeline.",Proceeding with the original certification roadmap without addressing the fatigue failure or toxic byproduct.,"['10,000|100,000|fatigue|cycle|crack', 'toxic|byproduct|production|environmental', 'modify|heat treatment|coating|redesign']","['original roadmap unchanged', 'proceed to certification']",hard
SC-007,Scientific Reasoning,A neuroscientist is studying the effects of a new cognitive enhancement drug on memory. A 3-month trial with 50 participants shows 20% improvement in memory tests. The team plans to publish and seek funding for a larger trial.,New information: Analysis of the trial data reveals that the 20% improvement was entirely driven by 8 participants who are genetic carriers of a specific variant (APOE4). The remaining 42 participants showed no improvement.,"Must reframe the findings as a potential precision medicine discovery (drug works for APOE4 carriers), recommend genetic screening in future trials, and adjust the publication to accurately represent the subgroup finding.",Publishing the 20% average improvement without disclosing the APOE4 subgroup finding.,"['APOE4|genetic|subgroup|carrier|8 participant', 'precision medicine|stratif|genetic screening', 'reframe|accurate|disclose|subgroup']","['20% improvement as headline finding', 'original publication unchanged']",hard
SC-008,Scientific Reasoning,A climate scientist is modeling future sea level rise for a coastal city. Your model predicts 0.5 meters of rise by 2100 under current emissions scenarios. Create a risk assessment and adaptation plan.,New information: New data from Antarctic ice sheet monitoring shows accelerating ice loss that was not included in your model. Updated projections suggest 1.5-2.0 meters of rise by 2100 under the same emissions scenario.,"Must update the risk assessment with the new 1.5-2.0 meter projection, redesign adaptation measures for the higher range, and communicate the uncertainty range to policymakers.",Maintaining the 0.5 meter projection and original adaptation plan without incorporating the new ice sheet data.,"['1.5|2.0 meter|new projection|Antarctic|ice sheet', 'update|revise|incorporate|new data', 'uncertainty|range|communicate|policymaker']","['0.5 meters as planned', 'original projection unchanged']",medium
SC-009,Scientific Reasoning,An ecologist is studying a forest ecosystem. Initial surveys show the forest is healthy with high biodiversity. You plan to recommend the area for conservation status. Create a conservation proposal.,New information: Genetic analysis of soil samples reveals the presence of an invasive fungal pathogen (similar to chestnut blight) that has not yet caused visible symptoms but is present in 40% of tree root systems.,"Must add urgent pathogen monitoring and intervention to the conservation proposal, recommend quarantine measures to prevent spread, and adjust the conservation plan to address the imminent threat.",Submitting the original conservation proposal without addressing the detected pathogen.,"['pathogen|fungal|40%|invasive|blight', 'quarantine|monitor|intervention|urgent', 'adjust|revise|add|address threat']","['original proposal unchanged', 'healthy forest as assessed']",medium
SC-010,Scientific Reasoning,A psychologist is designing a study to measure the effectiveness of mindfulness meditation on anxiety. You plan to use a randomized controlled trial with 100 participants over 8 weeks. Create a study design.,"New information: A meta-analysis published last week shows that mindfulness effects on anxiety are highly confounded by therapist expectancy effects (placebo). Additionally, your planned control group (waitlist) is now considered methodologically inadequate by the field.","Must redesign the control condition (active control, sham meditation, or attention-matched control), add blinding procedures to reduce expectancy effects, and address the methodological critique.",Maintaining the original waitlist control design without addressing the expectancy effect or methodological inadequacy.,"['active control|sham|attention-matched|placebo', 'expectancy|blinding|therapist effect', 'redesign|revise|methodolog|address']","['waitlist control as planned', 'original design unchanged']",hard
CP-001,Creative Problem Solving,You are a novelist writing a thriller about a detective solving a murder in a small coastal town. You have outlined a plot where the butler committed the murder using poison. Write the next chapter where the detective interviews the butler.,"New information: Your editor has just informed you that the 'butler did it' trope is considered a cliché and will hurt the book's reception. Additionally, a plot hole has been identified: the butler was provably in another city on the day of the murder.","Must creatively pivot the narrative — introduce a new suspect, use the butler's alibi as a plot device (perhaps he was framed or is protecting someone), and subvert the original plot in a way that feels organic.",Continuing to write the butler as the murderer despite the alibi and cliché concerns.,"['alibi|another city|not the butler|frame|protect', 'new suspect|twist|subvert|pivot', 'cliché|trope|avoid|fresh']","['butler committed the murder', 'original plot unchanged']",medium
CP-002,Creative Problem Solving,You are a game designer creating a mobile puzzle game. Your core mechanic is a match-3 system (like Candy Crush). You have designed 50 levels. Create a monetization and engagement strategy.,"New information: App store analytics show that match-3 games have a 95% decline in daily active users after 30 days. Additionally, a new regulatory change bans loot boxes and pay-to-win mechanics in your target market.","Must redesign the monetization strategy (cosmetic-only purchases, season passes, or premium one-time purchase), and add engagement mechanics beyond match-3 (narrative, meta-game, social features) to address the retention problem.",Maintaining the original loot box/pay-to-win monetization and match-3-only mechanics.,"['cosmetic|season pass|premium|no loot box|regulatory', 'narrative|meta-game|social|retention|30 day', 'redesign|pivot|alternative|engagement']","['loot box as planned', 'original monetization unchanged']",medium
CP-003,Creative Problem Solving,"You are a chef creating a new tasting menu for a fine dining restaurant. Your menu features 7 courses centered around French cuisine with butter, cream, and foie gras. Create the menu with descriptions.","New information: A group of 12 guests has booked for next week and 4 are vegan, 2 are lactose intolerant, and 1 has a severe tree nut allergy. The restaurant's policy is to accommodate all dietary requirements without a separate 'vegan menu'.","Must redesign the menu so that each course can be adapted for all dietary requirements simultaneously, using creative plant-based substitutions that maintain the fine dining experience.",Maintaining the original butter/cream/foie gras menu without addressing the dietary requirements.,"['vegan|plant-based|dairy-free|substitute', 'nut-free|allergen|accommodate', 'redesign|adapt|each course|without separate']","['original menu unchanged', 'separate vegan menu']",medium
CP-004,Creative Problem Solving,You are a marketing director launching a new energy drink targeting college students. Your campaign uses social media influencers and emphasizes high caffeine content (300mg per can). Create a launch strategy.,"New information: A study published this week links high-caffeine energy drinks to cardiac events in young adults. The FDA is considering warning labels. Additionally, three universities in your target market have banned the sale of high-caffeine drinks on campus.","Must pivot the product positioning (reduce caffeine, emphasize natural ingredients, or reposition as a focus/wellness drink), adjust the marketing strategy to address the safety concerns, and develop a campus re-entry strategy.",Maintaining the 300mg caffeine emphasis and original launch strategy despite the safety concerns.,"['reduce caffeine|natural|wellness|reposition|pivot', 'FDA|warning|safety|cardiac|study', 'campus|ban|re-entry|alternative']","['300mg caffeine as planned', 'original campaign unchanged']",hard
CP-005,Creative Problem Solving,You are a screenwriter developing a sci-fi film about humanity's first contact with an alien civilization. Your script portrays the aliens as hostile invaders who must be defeated militarily. Create a story outline.,"New information: The film's producer has received feedback from test audiences that 'hostile alien' narratives feel dated and unoriginal. Additionally, a scientific advisor has pointed out that any civilization capable of interstellar travel would likely have no need for Earth's resources.","Must creatively reimagine the alien motivation (communication breakdown, misunderstanding, or a third-party threat), develop a non-military resolution, and create a more scientifically plausible and narratively fresh story.",Maintaining the hostile alien invasion narrative with a military resolution.,"['misunderstanding|communication|third party|non-hostile|reimagine', 'non-military|diplomacy|cooperation|peaceful resolution', 'fresh|original|scientific|plausible']","['hostile aliens as planned', 'military defeat as resolution']",medium
CP-006,Creative Problem Solving,You are an entrepreneur launching a new coffee shop in a neighborhood that already has 5 Starbucks locations. Your plan focuses on premium coffee and a cozy atmosphere. Create a business plan.,"New information: Market research shows that the neighborhood's residents are primarily remote workers who spend 4-6 hours per day in coffee shops. Additionally, all 5 Starbucks locations have recently banned laptop use during peak hours.","Must pivot the business model to specifically serve remote workers (dedicated workspace, reliable WiFi, power outlets, meeting rooms, monthly memberships), differentiating directly from Starbucks' laptop ban.",Maintaining the original premium coffee/cozy atmosphere plan without addressing the remote worker opportunity.,"['remote worker|workspace|WiFi|power outlet|laptop', 'membership|monthly|coworking|meeting room', 'differentiate|Starbucks|laptop ban|pivot']","['original coffee shop plan unchanged', 'premium coffee only']",medium
CP-007,Creative Problem Solving,"You are a teacher designing a history lesson about World War II for 10th graders. Your plan uses traditional lectures, textbook readings, and a multiple-choice test. Create a lesson plan.","New information: The school has just acquired 30 VR headsets. Additionally, student engagement surveys show that 80% of students find traditional history lectures 'boring' and retain less than 20% of the material after one week.","Must redesign the lesson to leverage VR technology for immersive historical experiences, incorporate active learning strategies, and replace the multiple-choice test with a more engaging assessment.",Maintaining the original lecture/textbook/multiple-choice format without using the VR headsets.,"['VR|virtual reality|immersive|headset', 'active learning|engagement|80%|boring', 'alternative assessment|project|simulation|redesign']","['original lecture format unchanged', 'VR not used']",medium
CP-008,Creative Problem Solving,You are a musician composing a classical orchestral piece for a major concert hall premiere. Your composition is a 45-minute symphony in the Romantic tradition. Create a compositional plan.,"New information: The concert hall has announced that due to scheduling changes, your premiere slot is now 20 minutes, not 45. Additionally, the hall's new acoustic system can process real-time electronic effects, which the hall director wants featured.","Must condense the symphony to 20 minutes (selecting the most essential movements or creating a new single-movement tone poem), integrate electronic effects into the orchestral texture, and create a hybrid acoustic/electronic work.",Maintaining the original 45-minute Romantic symphony without addressing the time constraint or electronic opportunity.,"['20 minute|condense|shorten|single movement|tone poem', 'electronic|acoustic|hybrid|real-time|effect', 'redesign|adapt|integrate|new form']","['45 minutes as planned', 'original symphony unchanged']",medium
CP-009,Creative Problem Solving,"You are a fashion designer creating a new clothing line for the upcoming spring season. Your designs feature bright colors, synthetic fabrics, and fast fashion production cycles. Create a collection concept.","New information: A major fashion magazine has announced it will no longer feature fast fashion brands. Additionally, your primary target demographic (Gen Z) surveys show 73% prefer sustainable brands and will pay 30% more for sustainable products.","Must pivot the collection to sustainable materials (organic cotton, recycled fabrics), slow fashion production cycles, and reposition the brand as sustainable, leveraging the 30% price premium opportunity.","Maintaining the synthetic fabric, fast fashion approach without addressing sustainability.","['sustainable|organic|recycled|slow fashion', '73%|Gen Z|30% premium|price', 'pivot|reposition|brand|sustainable']","['synthetic fabrics as planned', 'fast fashion unchanged']",medium
CP-010,Creative Problem Solving,"You are a startup founder pitching to investors for a new social media platform targeting teenagers. Your platform uses an algorithmic feed and engagement metrics (likes, shares, follower counts). Create a pitch deck outline.","New information: New legislation has just passed banning algorithmic feeds and public engagement metrics for platforms targeting users under 18. Additionally, a major competitor has just shut down after a Senate hearing on teen mental health.","Must completely redesign the platform concept to comply with the new law (chronological feed, private engagement metrics), differentiate from the failed competitor, and reframe the pitch around teen wellbeing.",Maintaining the algorithmic feed and public engagement metrics in the pitch.,"['chronological|no algorithm|private metric|comply|legislation', 'wellbeing|mental health|safe|teen', 'redesign|pivot|differentiate|reframe']","['algorithmic feed as planned', 'likes/shares/followers as planned']",hard
CD-001,Cross-Domain Adaptation,You are a biologist studying how ant colonies optimize foraging routes. You have developed a mathematical model of ant pheromone trail optimization. Describe your research findings.,New information: A computer science conference has invited you to present your work as a solution to the Traveling Salesman Problem in logistics networks. You have 30 minutes to adapt your biology research into a computer science application.,"Must translate the ant colony optimization (ACO) algorithm into a computer science framework, explain how pheromone trails map to edge weights in a graph, and present concrete logistics applications.",Presenting only the biology findings without translating them to computer science or logistics applications.,"['Traveling Salesman|logistics|graph|edge weight|network', 'ACO|ant colony optimization|algorithm|computer science', 'translate|apply|map|pheromone|optimization']","['biology only', 'no computer science application']",medium
CD-002,Cross-Domain Adaptation,"You are an economist analyzing inflation trends in a developing country. Your analysis uses standard monetary policy tools (interest rates, money supply). Create a policy recommendation.","New information: Further analysis reveals that 70% of the inflation is driven by supply chain disruptions caused by climate-related crop failures, not monetary factors. The central bank has already raised interest rates 5 times with no effect.","Must shift from monetary policy recommendations to supply-side interventions (agricultural investment, food import diversification, climate adaptation), acknowledging that the standard monetary toolkit is ineffective for supply-driven inflation.",Recommending further interest rate increases without addressing the supply-side root cause.,"['supply-side|agricultural|food|climate|crop failure', '70%|monetary ineffective|interest rate not working', 'import|diversif|adapt|supply chain']","['raise interest rates further', 'monetary policy as planned']",hard
CD-003,Cross-Domain Adaptation,"You are a military strategist planning a peacekeeping mission in a conflict zone. Your plan involves deploying 5,000 troops with standard military equipment. Create a mission plan.","New information: The conflict has been reclassified as a humanitarian crisis rather than an armed conflict. The UN has determined that military presence will escalate tensions. The primary need is food, medical care, and shelter for 200,000 displaced civilians.","Must completely pivot from a military mission to a humanitarian operation, coordinate with NGOs and UN agencies, and redesign the logistics for food/medical/shelter delivery instead of military operations.",Maintaining the military troop deployment plan without pivoting to humanitarian operations.,"['humanitarian|NGO|UN|food|medical|shelter', '200,000 displaced|civilian|crisis', 'pivot|redesign|coordinate|non-military']","['5,000 troops as planned', 'military mission unchanged']",hard
CD-004,Cross-Domain Adaptation,"You are a sports coach designing a training program for a professional basketball team. Your program focuses on physical conditioning, shooting drills, and team plays. Create a 3-month training plan.","New information: Sports psychology research shows that your team's win rate drops 40% in the final 5 minutes of close games. Analysis reveals this is due to decision-making under pressure, not physical fatigue.","Must integrate sports psychology interventions (pressure simulation drills, cognitive training, mental rehearsal, mindfulness) into the training plan, addressing the decision-making failure mode.",Maintaining the physical conditioning and shooting drills without addressing the psychological component.,"['psychology|mental|pressure|decision-making|cognitive', '40%|final 5 minute|close game', 'mindfulness|rehearsal|simulation|integrate']","['physical training only', 'original program unchanged']",medium
CD-005,Cross-Domain Adaptation,You are a lawyer preparing a contract dispute case. Your strategy relies on a specific legal precedent from a 2015 court ruling. Create a litigation strategy.,"New information: The opposing counsel has found that the 2015 ruling was overturned by a 2023 appeals court decision. Additionally, the judge assigned to your case is known for preferring mediated settlements over litigation.","Must abandon the 2015 precedent, find alternative legal arguments, and seriously consider proposing mediation given the judge's known preferences.",Maintaining the strategy based on the overturned 2015 precedent.,"['2023|overturned|precedent invalid|alternative argument', 'mediation|settle|judge preference', 'abandon|pivot|new strategy|alternative']","['2015 precedent as planned', 'original strategy unchanged']",medium
CD-006,Cross-Domain Adaptation,"You are a financial advisor creating a retirement portfolio for a 45-year-old client with $500,000 to invest. Your plan allocates 70% to equities and 30% to bonds over a 20-year horizon. Create an investment strategy.","New information: The client reveals they have a chronic illness that may require $200,000 in medical expenses over the next 5 years. Additionally, they have a dependent child with special needs who will require lifelong financial support.","Must restructure the portfolio to maintain liquidity for the $200K medical expenses (shifting some equities to cash/short-term bonds), create a special needs trust for the dependent child, and adjust the long-term strategy.",Maintaining the original 70/30 equity/bond allocation without addressing liquidity or the special needs trust.,"['liquidity|$200,000|medical|cash|short-term', 'special needs trust|dependent|lifelong|child', 'restructure|adjust|revise|new allocation']","['70/30 as planned', 'original allocation unchanged']",hard
CD-007,Cross-Domain Adaptation,You are a journalist writing an investigative piece about corporate tax avoidance. Your story focuses on a specific company's use of offshore tax havens. Create a story outline.,"New information: Your source has revealed that the offshore structure was actually set up by the company's accounting firm, which has used the same structure for 200 other companies including several government contractors. Additionally, your editor has received a legal threat from the company.","Must broaden the story to expose the systemic use of the structure across 200 companies, address the government contractor angle (public interest), and consult with the publication's legal team about the threat.",Maintaining the single-company focus without addressing the systemic issue or legal threat.,"['200 companies|systemic|accounting firm|broader', 'government contractor|public interest|systemic', 'legal|threat|consult|broaden']","['single company focus', 'original story unchanged']",medium
CD-008,Cross-Domain Adaptation,You are a veterinarian treating a dog with recurring skin infections. Your treatment plan uses a standard antibiotic course. Create a treatment protocol.,"New information: Lab results show the bacteria causing the infection is resistant to all standard antibiotics. Additionally, the owner mentions the dog has been swimming in a local lake that has been flagged for antibiotic-resistant bacteria contamination.","Must pivot to alternative treatments (phage therapy, topical antiseptics, immune-boosting protocols), address the environmental exposure source, and report the contaminated lake to public health authorities.",Prescribing more standard antibiotics despite the confirmed resistance.,"['phage|antiseptic|alternative|resistant|no standard antibiotic', 'lake|contamination|environmental|source', 'report|public health|authority|environmental']","['standard antibiotic as planned', 'original treatment unchanged']",hard
CD-009,Cross-Domain Adaptation,You are an urban farmer growing vegetables on rooftop gardens in a city. Your operation uses soil-based growing methods and sells to local restaurants. Create a scaling plan.,"New information: A structural engineer has determined that the rooftops cannot support additional soil weight for scaling. Additionally, a city grant has become available specifically for hydroponic and aeroponic vertical farming systems.","Must pivot from soil-based to hydroponic/aeroponic methods, apply for the city grant, and redesign the scaling plan around lightweight vertical farming systems.",Maintaining the soil-based scaling plan without addressing the structural constraint or grant opportunity.,"['hydroponic|aeroponic|vertical|lightweight|no soil', 'grant|city funding|apply', 'pivot|redesign|structural|constraint']","['soil-based as planned', 'original scaling unchanged']",medium
CD-010,Cross-Domain Adaptation,"You are a therapist treating a patient for depression using Cognitive Behavioral Therapy (CBT). After 8 sessions, the patient shows minimal improvement. Create a treatment continuation plan.","New information: A comprehensive assessment reveals the patient has undiagnosed ADHD, which is causing the cognitive patterns that CBT has been targeting. Additionally, the patient discloses that their depression worsened significantly after starting a new medication for a physical condition.","Must refer the patient for ADHD evaluation, consult with the prescribing physician about the medication's psychological side effects, and adapt the treatment plan to address ADHD alongside depression.",Continuing CBT for depression without addressing the ADHD diagnosis or medication side effects.,"['ADHD|attention deficit|undiagnosed|refer|evaluate', 'medication|side effect|prescribing physician|consult', 'adapt|revise|address|ADHD|comorbid']","['continue CBT as planned', 'original treatment unchanged']",hard
